"date","precipitation","air_temp_mean","air_temp_max","air_temp_min","source","date-2"
"1887-06-01",37.338000726699825,54,64,45,"hospital","1887-06-01"
"1887-06-02",1.0159999772906303,48,55,41,"hospital","1887-06-02"
"1887-06-03",0,59,79,39,"hospital","1887-06-03"
"1887-06-04",0,70,90,52,"hospital","1887-06-04"
"1887-06-05",9.65199987888336,68,79,59,"hospital","1887-06-05"
"1887-06-06",3.8100001513957977,70,81,59,"hospital","1887-06-06"
"1887-06-07",0,70,90,50,"hospital","1887-06-07"
"1887-06-08",64.26199927330016,77,93,61,"hospital","1887-06-08"
"1887-06-09",0,70,77,63,"hospital","1887-06-09"
"1887-06-10",0,59,77,43,"hospital","1887-06-10"
"1887-06-11",0,59,81,39,"hospital","1887-06-11"
"1887-06-12",0,66,82,50,"hospital","1887-06-12"
"1887-06-13",0,70,90,52,"hospital","1887-06-13"
"1887-06-14",0,75,88,63,"hospital","1887-06-14"
"1887-06-15",0,75,88,64,"hospital","1887-06-15"
"1887-06-16",0,81,95,68,"hospital","1887-06-16"
"1887-06-17",19.049999999999997,81,100,63,"hospital","1887-06-17"
"1887-06-18",5.842000105977058,73,93,55,"hospital","1887-06-18"
"1887-06-19",0,73,84,63,"hospital","1887-06-19"
"1887-06-20",1.0159999772906303,79,95,63,"hospital","1887-06-20"
"1887-06-21",0.7619999829679727,64,75,54,"hospital","1887-06-21"
"1887-06-22",0,57,68,48,"hospital","1887-06-22"
"1887-06-23",0.5079999886453151,39,48,32,"hospital","1887-06-23"
"1887-06-24",0,50,68,34,"hospital","1887-06-24"
"1887-06-25",0,57,84,32,"hospital","1887-06-25"
"1887-06-26",0,57,84,32,"hospital","1887-06-26"
"1887-06-27",0,59,84,34,"hospital","1887-06-27"
"1887-06-28",0,77,95,59,"hospital","1887-06-28"
"1887-06-29",0,91,100,82,"hospital","1887-06-29"
"1887-06-30",0,68,97,41,"hospital","1887-06-30"
"1887-07-01",1.7780000075697897,86,93,79,"hospital","1887-07-01"
"1887-07-02",0.7619999829679727,82,99,68,"hospital","1887-07-02"
"1887-07-03",2.2860000908374785,84,97,73,"hospital","1887-07-03"
"1887-07-04",7.112000030279159,81,91,72,"hospital","1887-07-04"
"1887-07-05",0,75,86,64,"hospital","1887-07-05"
"1887-07-06",0,73,86,61,"hospital","1887-07-06"
"1887-07-07",0,79,102,57,"hospital","1887-07-07"
"1887-07-08",0,88,104,72,"hospital","1887-07-08"
"1887-07-09",2.7939999848604202,77,90,64,"hospital","1887-07-09"
"1887-07-10",0,81,91,72,"hospital","1887-07-10"
"1887-07-11",0,79,102,57,"hospital","1887-07-11"
"1887-07-12",0,100,111,91,"hospital","1887-07-12"
"1887-07-13",0.2539999943226576,88,104,72,"hospital","1887-07-13"
"1887-07-14",0,88,100,75,"hospital","1887-07-14"
"1887-07-15",0,93,115,72,"hospital","1887-07-15"
"1887-07-16",0,99,117,81,"hospital","1887-07-16"
"1887-07-17",0,102,118,86,"hospital","1887-07-17"
"1887-07-18",0,81,90,73,"hospital","1887-07-18"
"1887-07-19",0,84,97,72,"hospital","1887-07-19"
"1887-07-20",0,82,100,66,"hospital","1887-07-20"
"1887-07-21",5.080000075697899,77,91,64,"hospital","1887-07-21"
"1887-07-22",0,77,93,63,"hospital","1887-07-22"
"1887-07-23",0,63,81,46,"hospital","1887-07-23"
"1887-07-24",0,68,90,46,"hospital","1887-07-24"
"1887-07-25",0,70,88,54,"hospital","1887-07-25"
"1887-07-26",0,81,102,59,"hospital","1887-07-26"
"1887-07-27",0,91,111,72,"hospital","1887-07-27"
"1887-07-28",0,84,100,68,"hospital","1887-07-28"
"1887-07-29",0,90,109,72,"hospital","1887-07-29"
"1887-07-30",0,81,104,57,"hospital","1887-07-30"
"1887-07-31",0,86,100,72,"hospital","1887-07-31"
"1887-08-01",0,84,102,68,"hospital","1887-08-01"
"1887-08-02",NULL,86,109,63,"hospital","1887-08-02"
"1887-08-03",NULL,88,111,66,"hospital","1887-08-03"
"1887-08-04",0.5079999886453151,90,108,72,"hospital","1887-08-04"
"1887-08-05",0.2539999943226576,82,106,59,"hospital","1887-08-05"
"1887-08-06",NULL,66,86,48,"hospital","1887-08-06"
"1887-08-07",NULL,73,93,55,"hospital","1887-08-07"
"1887-08-08",NULL,81,102,59,"hospital","1887-08-08"
"1887-08-09",NULL,86,111,61,"hospital","1887-08-09"
"1887-08-10",NULL,90,113,68,"hospital","1887-08-10"
"1887-08-11",16.50999939441681,79,90,68,"hospital","1887-08-11"
